evaluations raw_y
1313 0.0000000450
1354 0.0000000083
1500 0.0000000052
1547 0.0000000040
1570 0.0000000018
1576 0.0000000008
1624 0.0000000004
1810 0.0000000003
1936 0.0000000001
2163 0.0000000000
8000 0.0000000000
evaluations raw_y
1 2.2718956354
5 2.0956003015
6 2.0365321712
8 1.9465623109
12 0.0002961395
67 0.0002371336
77 0.0002100081
111 0.0001823177
117 0.0001359791
211 0.0001335175
248 0.0001323340
252 0.0001323217
291 0.0001312148
322 0.0001245170
394 0.0001237911
479 0.0001230613
545 0.0001228166
621 0.0001227102
847 0.0001226923
865 0.0001226862
908 0.0001226828
924 0.0001226820
992 0.0001226797
1019 0.0001226782
1034 0.0001226772
1042 0.0001226770
1045 0.0001226760
1177 0.0001226731
1209 0.0001226728
1244 0.0001226719
1301 0.0001226717
8000 0.0001226716
evaluations raw_y
1 0.8291013825
7 0.2229793947
36 0.1410192070
45 0.1073287310
90 0.0618141508
113 0.0547585289
122 0.0400073247
169 0.0139090531
241 0.0045453655
306 0.0023890891
323 0.0000452180
490 0.0000397844
512 0.0000220645
688 0.0000217165
691 0.0000156282
705 0.0000087435
716 0.0000067629
739 0.0000066916
756 0.0000022133
766 0.0000020462
873 0.0000006102
967 0.0000003037
1054 0.0000002938
1065 0.0000002802
1096 0.0000001693
1116 0.0000001115
1126 0.0000001055
1161 0.0000000745
1210 0.0000000477
1218 0.0000000385
1220 0.0000000344
1257 0.0000000336
1260 0.0000000184
1283 0.0000000159
1302 0.0000000083
1316 0.0000000067
1335 0.0000000010
1357 0.0000000009
1406 0.0000000006
1493 0.0000000002
1751 0.0000000001
8000 0.0000000000
evaluations raw_y
1 2.8821595985
2 1.3345490129
16 1.2767006308
21 0.9520958589
25 0.7638205420
52 0.4035674088
89 0.0761757253
176 0.0639088498
178 0.0405655898
193 0.0364698668
246 0.0012931443
534 0.0012617511
567 0.0003639543
613 0.0001650572
662 0.0001453302
675 0.0000659805
701 0.0000167546
795 0.0000105731
800 0.0000073031
826 0.0000066298
919 0.0000064681
926 0.0000018912
932 0.0000012898
943 0.0000011274
957 0.0000010026
1009 0.0000007490
1028 0.0000005742
1053 0.0000000226
1260 0.0000000184
1322 0.0000000079
1351 0.0000000071
1382 0.0000000026
1403 0.0000000005
1598 0.0000000004
1599 0.0000000002
1666 0.0000000001
8000 0.0000000000
evaluations raw_y
1 1.2459546246
2 0.3243479090
4 0.1322720548
82 0.1258593520
87 0.0747140670
105 0.0019777320
249 0.0012193830
277 0.0009053829
316 0.0008966280
322 0.0008771168
324 0.0002239445
438 0.0001845546
441 0.0001164984
447 0.0000152869
