evaluations raw_y
12 0.8291999084
14 0.4978411580
18 0.0823031608
57 0.0575305644
103 0.0387256528
118 0.0357494572
141 0.0275174608
160 0.0119892264
205 0.0057349607
332 0.0055915973
347 0.0016983832
469 0.0001701194
532 0.0001134743
576 0.0000883213
619 0.0000448899
722 0.0000234551
729 0.0000067045
808 0.0000052093
835 0.0000037427
864 0.0000016027
1014 0.0000003261
1255 0.0000001659
1305 0.0000001655
1344 0.0000000749
1395 0.0000000564
1406 0.0000000517
1448 0.0000000297
1498 0.0000000240
1511 0.0000000238
1534 0.0000000170
1619 0.0000000157
1633 0.0000000077
1684 0.0000000061
1803 0.0000000019
1848 0.0000000013
1926 0.0000000007
2010 0.0000000004
2155 0.0000000002
2313 0.0000000001
8000 0.0000000000
evaluations raw_y
1 4.4027176943
2 2.5629479575
3 0.2994218152
9 0.2620936681
51 0.0435075353
229 0.0305254817
281 0.0283205762
323 0.0152336112
342 0.0076866528
479 0.0073094545
527 0.0060248251
528 0.0044353553
557 0.0042146256
569 0.0018922515
599 0.0011417607
662 0.0002738640
753 0.0002319262
754 0.0001495062
797 0.0000534931
891 0.0000189414
988 0.0000111160
1035 0.0000010545
1138 0.0000007687
1271 0.0000000323
1543 0.0000000288
1564 0.0000000099
1664 0.0000000024
1846 0.0000000001
2322 0.0000000000
8000 0.0000000000
evaluations raw_y
1 0.8662982375
2 0.5894322739
6 0.3095006962
35 0.1990969115
112 0.1769117593
116 0.1530800398
131 0.1446541486
135 0.1331937343
138 0.1140615818
164 0.1085299555
224 0.0954617927
235 0.0729610017
275 0.0155390242
311 0.0112450549
358 0.0001326840
399 0.0000018291
619 0.0000012305
651 0.0000008191
701 0.0000006035
753 0.0000001694
811 0.0000000699
903 0.0000000183
906 0.0000000044
1100 0.0000000033
1169 0.0000000026
1270 0.0000000017
1285 0.0000000010
1364 0.0000000006
1417 0.0000000003
1646 0.0000000002
1752 0.0000000000
8000 0.0000000000
evaluations raw_y
1 15.2744795633
3 3.7690106839
32 3.4629899796
82 2.8164250823
84 1.6356034425
107 0.4632771744
140 0.3962639244
248 0.0385760316
367 0.0089681209
521 0.0035307340
528 0.0033882919
535 0.0029437411
578 0.0011857975
654 0.0011780159
656 0.0009359130
703 0.0006161224
732 0.0005733247
735 0.0000834960
739 0.0000716105
795 0.0000384858
862 0.0000318551
879 0.0000120506
920 0.0000080237
1021 0.0000040969
1085 0.0000009249
1098 0.0000001597
1188 0.0000000062
1372 0.0000000008
1394 0.0000000006
1466 0.0000000002
1555 0.0000000000
8000 0.0000000000
evaluations raw_y
1 2.0253862686
2 1.7594796214
4 0.7940281659
6 0.0035888124
8 0.0020505388
14 0.0017597413
96 0.0013068300
131 0.0012520839
134 0.0011823559
199 0.0011094810
209 0.0010605292
218 0.0010219141
304 0.0009545800
326 0.0005270138
337 0.0004195728
365 0.0001380992
753 0.0001211258
794 0.0000959767
810 0.0000259557
1039 0.0000253309
1101 0.0000167698
1191 0.0000141387
1192 0.0000067478
1330 0.0000063146
1335 0.0000051072
1337 0.0000008618
1471 0.0000008283
1673 0.0000001407
1978 0.0000001307
2016 0.0000001035
2017 0.0000000858
2033 0.0000000698
2066 0.0000000191
2218 0.0000000184
2294 0.0000000174
2315 0.0000000151
2334 0.0000000034
2378 0.0000000020
2570 0.0000000019
2583 0.0000000010
2594 0.0000000006
2669 0.0000000001
8000 0.0000000000
evaluations raw_y
1 2.4894948960
6 1.2116924879
15 1.1439970721
44 0.9890943959
104 0.7500219674
117 0.5545386942
134 0.2696932539
237 0.0432533619
279 0.0219043258
387 0.0112276675
423 0.0002929191
740 0.0002864878
761 0.0002014264
845 0.0000788468
918 0.0000711588
945 0.0000223746
1028 0.0000098093
1038 0.0000064949
1072 0.0000058544
1080 0.0000039476
1091 0.0000004904
1240 0.0000000623
1324 0.0000000345
1405 0.0000000276
1427 0.0000000005
1483 0.0000000004
1602 0.0000000003
1697 0.0000000001
8000 0.0000000000
evaluations raw_y
1 2.0535606092
2 0.9397663141
6 0.0393736128
79 0.0000000012
83 0.0000000011
86 0.0000000007
143 0.0000000006
156 0.0000000005
300 0.0000000004
438 0.0000000002
609 0.0000000001
1185 0.0000000000
8000 0.0000000000
evaluations raw_y
1 2.2694797908
2 0.1689074840
9 0.1647144871
14 0.1175871805
28 0.0672274103
38 0.0373549294
57 0.0332786994
97 0.0126410580
124 0.0081341239
184 0.0040555105
233 0.0030613870
237 0.0016385555
289 0.0012956274
346 0.0009316883
401 0.0006477899
406 0.0005793211
420 0.0001887209
517 0.0001192151
551 0.0000738822
591 0.0000545727
592 0.0000371151
641 0.0000070297
688 0.0000006226
905 0.0000002968
907 0.0000000764
1011 0.0000000446
1131 0.0000000254
1219 0.0000000221
1250 0.0000000051
1378 0.0000000042
1396 0.0000000011
1616 0.0000000005
1624 0.0000000002
2200 0.0000000000
8000 0.0000000000
evaluations raw_y
1 45.4304379998
4 23.0656008567
5 11.4648056806
20 9.5431899819
22 5.9176230331
28 1.1105883869
57 0.9802928045
117 0.2053692612
395 0.0137951107
694 0.0003100397
1182 0.0002364392
1295 0.0000770296
1319 0.0000095144
1431 0.0000019605
1570 0.0000010489
1617 0.0000009281
1652 0.0000003947
1692 0.0000003536
1752 0.0000003316
1766 0.0000003268
1769 0.0000001343
1827 0.0000000822
1847 0.0000000012
2170 0.0000000010
2236 0.0000000006
2269 0.0000000003
2416 0.0000000001
2978 0.0000000000
8000 0.0000000000
evaluations raw_y
1 1769.2300741932
2 7.2442390174
34 2.7436485677
136 0.9253861616
194 0.2914014993
367 0.1134056391
428 0.0388442685
456 0.0068360344
756 0.0009579758
1149 0.0003869966
1347 0.0003234996
1406 0.0000850848
1564 0.0000836524
1568 0.0000007814
1798 0.0000002350
1863 0.0000000672
2002 0.0000000225
2010 0.0000000213
2093 0.0000000040
2275 0.0000000018
2331 0.0000000007
2402 0.0000000004
2680 0.0000000001
8000 0.0000000000
evaluations raw_y
1 31.9395506872
2 4.1102666028
18 3.5775493979
71 1.5059124145
123 0.6777630964
167 0.4399969024
230 0.2317251865
236 0.1781572185
343 0.1771275023
369 0.1740297554
407 0.0344466236
571 0.0273448628
599 0.0225074901
622 0.0184020589
641 0.0021044554
797 0.0009521299
825 0.0007453332
905 0.0004379720
1021 0.0004160395
1073 0.0002396144
1100 0.0001361517
1114 0.0000826174
1173 0.0000783324
1180 0.0000539613
1186 0.0000174356
1236 0.0000039510
1313 0.0000033667
1406 0.0000022849
1439 0.0000011098
1641 0.0000007576
1654 0.0000001357
1842 0.0000001037
1865 0.0000000711
1931 0.0000000691
1979 0.0000000283
2103 0.0000000202
2146 0.0000000177
2152 0.0000000114
2197 0.0000000093
2226 0.0000000018
2476 0.0000000007
2621 0.0000000005
2692 0.0000000003
2791 0.0000000001
8000 0.0000000000
evaluations raw_y
1 2.3203121907
2 1.7898912192
3 0.9125658410
5 0.3992060542
63 0.3667139431
90 0.2677354580
91 0.0732759646
109 0.0446684519
207 0.0436279807
241 0.0224348889
278 0.0149500210
310 0.0126428010
311 0.0063226434
407 0.0041413810
410 0.0025338563
522 0.0012343005
691 0.0007491625
708 0.0005956263
726 0.0003473074
882 0.0002159880
897 0.0001646485
913 0.0000523986
1123 0.0000258924
1315 0.0000162552
1361 0.0000107076
1560 0.0000076841
1801 0.0000011204
2314 0.0000008587
2343 0.0000004718
2410 0.0000004469
2431 0.0000001434
2448 0.0000000874
2640 0.0000000131
3210 0.0000000117
3294 0.0000000112
3296 0.0000000086
3304 0.0000000075
3393 0.0000000064
3474 0.0000000057
3501 0.0000000019
3507 0.0000000017
3581 0.0000000002
4270 0.0000000001
4824 0.0000000000
8000 0.0000000000
evaluations raw_y
1 11.4325582370
2 0.9761623973
41 0.1212074248
51 0.0948348316
79 0.0640126484
83 0.0522143581
205 0.0483022268
272 0.0464752262
282 0.0457004044
331 0.0447555657
332 0.0397655316
409 0.0393461746
470 0.0392168161
473 0.0381724948
551 0.0381395541
643 0.0380278294
832 0.0380174233
854 0.0380151446
1017 0.0380120965
1089 0.0380110131
1246 0.0380109697
1299 0.0380108120
1304 0.0380107996
1325 0.0380106989
1387 0.0380106953
1425 0.0380106408
1446 0.0380106313
1464 0.0380106228
1498 0.0380105835
1540 0.0380105814
1543 0.0380105739
1722 0.0380105734
1736 0.0380105732
1744 0.0380105703
1829 0.0380105658
1883 0.0380105641
2158 0.0380105640
8000 0.0380105639
evaluations raw_y
1 11.2377223469
2 3.3023281636
3 0.1698390132
15 0.0462611453
79 0.0311659930
130 0.0292102804
206 0.0184627145
216 0.0037390816
416 0.0007120589
470 0.0005097827
511 0.0002066664
728 0.0001624446
771 0.0000691963
866 0.0000556776
880 0.0000231988
892 0.0000005616
1084 0.0000001562
1339 0.0000001082
1345 0.0000000744
1365 0.0000000032
1701 0.0000000024
1727 0.0000000005
1799 0.0000000003
1852 0.0000000001
2372 0.0000000000
8000 0.0000000000
evaluations raw_y
1 3.5299746486
2 3.4370316554
17 3.1755906155
25 2.8136917800
27 0.4458565648
146 0.2251429476
271 0.1997986132
287 0.1693972171
309 0.0054543677
707 0.0016689625
787 0.0006978898
857 0.0001171471
1013 0.0000649794
1016 0.0000209892
1154 0.0000049129
1246 0.0000003541
1420 0.0000002005
1454 0.0000001663
1465 0.0000001617
1484 0.0000000990
1490 0.0000000529
1550 0.0000000016
1667 0.0000000003
1795 0.0000000002
2038 0.0000000000
8000 0.0000000000
evaluations raw_y
1 7.1576394776
2 2.7743715473
3 1.7797348624
9 0.8901951604
24 0.7710103412
29 0.5349412695
53 0.3104887698
55 0.0807260654
82 0.0364914689
103 0.0195163990
172 0.0124469590
173 0.0071307869
217 0.0035110942
261 0.0018908888
291 0.0010963953
325 0.0006183486
370 0.0003160388
418 0.0003036881
447 0.0000666197
553 0.0000617707
591 0.0000305201
596 0.0000274492
630 0.0000179644
645 0.0000131617
659 0.0000125076
662 0.0000116033
668 0.0000063432
702 0.0000021244
796 0.0000019634
840 0.0000003729
940 0.0000001452
974 0.0000001334
1006 0.0000000651
1179 0.0000000584
1182 0.0000000356
1185 0.0000000277
1201 0.0000000084
1372 0.0000000048
1378 0.0000000030
1441 0.0000000015
1476 0.0000000012
1642 0.0000000011
1651 0.0000000008
1665 0.0000000006
1815 0.0000000001
2641 0.0000000000
8000 0.0000000000
evaluations raw_y
1 4.5405987612
4 4.2384910352
11 1.0097775373
12 0.4134730111
113 0.3203363997
116 0.3153047836
118 0.1207564155
172 0.1008331660
186 0.0719616652
204 0.0246346240
232 0.0104259227
324 0.0090246329
340 0.0071658045
395 0.0060380779
401 0.0032507043
405 0.0005148840
436 0.0001064590
526 0.0000988925
615 0.0000046379
796 0.0000029588
809 0.0000009587
860 0.0000006387
907 0.0000001981
977 0.0000000165
1097 0.0000000052
1128 0.0000000029
1144 0.0000000023
1168 0.0000000004
1231 0.0000000001
1513 0.0000000000
8000 0.0000000000
evaluations raw_y
1 29.5940058990
2 11.9664364121
5 3.9122951969
54 2.8878885671
66 1.7530779095
113 1.6718174160
166 1.1982707498
233 0.6034776401
236 0.4537793254
392 0.4241124861
434 0.1366683501
550 0.1093253609
573 0.0224237095
665 0.0009074362
815 0.0000585460
1069 0.0000546693
1070 0.0000276994
1083 0.0000070258
1221 0.0000053298
1259 0.0000014363
1342 0.0000011532
1385 0.0000002782
1485 0.0000000593
1590 0.0000000342
1679 0.0000000239
1722 0.0000000204
1729 0.0000000152
1757 0.0000000133
1760 0.0000000094
1909 0.0000000083
1926 0.0000000019
2167 0.0000000013
2252 0.0000000010
2322 0.0000000007
2363 0.0000000004
2716 0.0000000003
2725 0.0000000001
8000 0.0000000000
evaluations raw_y
1 0.0359640139
2 0.0025069871
6 0.0024481132
16 0.0020192850
19 0.0013364453
39 0.0005869463
146 0.0005022346
192 0.0004657395
223 0.0002986805
474 0.0002628286
489 0.0002483965
499 0.0002380728
566 0.0001807367
626 0.0001769360
695 0.0001739332
1002 0.0001717704
1183 0.0001717358
1371 0.0001717232
1530 0.0001716756
1547 0.0001716677
1625 0.0001716662
1631 0.0001716637
1652 0.0001716574
1670 0.0001716546
1768 0.0001716545
8000 0.0001716544
evaluations raw_y
1 20.3144724291
4 2.2770893465
5 1.2728488240
13 0.6837711789
97 0.4434737841
119 0.3455445797
139 0.0918903659
162 0.0612171771
195 0.0563758116
254 0.0262490980
274 0.0052593457
287 0.0016985448
308 0.0008306373
348 0.0007654656
408 0.0005398360
428 0.0004185834
455 0.0003634844
456 0.0002420658
469 0.0002041807
480 0.0001353193
520 0.0001101376
526 0.0000640596
537 0.0000592218
545 0.0000032445
561 0.0000008692
648 0.0000007138
679 0.0000003083
680 0.0000002867
704 0.0000002024
757 0.0000000541
776 0.0000000097
795 0.0000000072
950 0.0000000040
1058 0.0000000037
1065 0.0000000025
1072 0.0000000022
1083 0.0000000018
1102 0.0000000016
1103 0.0000000013
1112 0.0000000010
1149 0.0000000008
1210 0.0000000002
1428 0.0000000000
8000 0.0000000000
evaluations raw_y
1 0.8398416034
2 0.3676727667
10 0.0985183314
47 0.0896454022
92 0.0619177724
171 0.0101812425
211 0.0091556195
363 0.0053063337
444 0.0035216972
463 0.0017794531
518 0.0013419750
556 0.0007753584
637 0.0002285882
693 0.0001810963
702 0.0000286996
878 0.0000101273
897 0.0000089247
1047 0.0000077847
1060 0.0000059343
1063 0.0000026925
1169 0.0000019549
1189 0.0000019415
1206 0.0000016674
1250 0.0000007854
1262 0.0000006792
1367 0.0000006136
1377 0.0000004310
1430 0.0000002928
1485 0.0000002894
1491 0.0000002454
1530 0.0000002135
1548 0.0000001165
1550 0.0000000869
1565 0.0000000175
1796 0.0000000093
1806 0.0000000067
1873 0.0000000065
1886 0.0000000029
2003 0.0000000024
2041 0.0000000017
2122 0.0000000015
2141 0.0000000006
2212 0.0000000005
2461 0.0000000001
2924 0.0000000000
8000 0.0000000000
evaluations raw_y
1 0.4931700811
22 0.0706064797
159 0.0555997654
203 0.0406165515
212 0.0279032028
218 0.0131875459
228 0.0081522443
374 0.0076542019
383 0.0070486972
387 0.0064999299
400 0.0031743416
440 0.0027150587
448 0.0007988077
561 0.0005911231
563 0.0003615334
583 0.0003223585
644 0.0002886401
650 0.0002308164
678 0.0001419023
684 0.0001010847
725 0.0000986071
752 0.0000345475
780 0.0000329233
798 0.0000074392
886 0.0000021473
954 0.0000013899
1083 0.0000002466
1158 0.0000001057
1347 0.0000000470
1349 0.0000000430
1395 0.0000000333
1460 0.0000000191
1476 0.0000000061
1582 0.0000000045
1585 0.0000000043
1641 0.0000000035
1692 0.0000000033
1766 0.0000000030
1803 0.0000000026
1826 0.0000000021
1858 0.0000000008
2091 0.0000000006
2149 0.0000000004
2279 0.0000000002
2456 0.0000000001
8000 0.0000000000
evaluations raw_y
1 10.9598488299
2 8.9974661473
3 8.3932398295
4 6.5259927424
6 3.7953053877
8 2.8980545151
10 1.8232268486
14 1.7782230628
33 1.0871813736
42 0.1278478074
160 0.0846614294
221 0.0812366063
252 0.0810682750
264 0.0196935181
323 0.0117855618
343 0.0114111279
369 0.0072712894
488 0.0042223000
535 0.0032734992
552 0.0031482882
572 0.0025802119
604 0.0003358778
722 0.0001044636
793 0.0000391976
806 0.0000193377
918 0.0000152715
945 0.0000029093
1130 0.0000021834
1184 0.0000006837
1297 0.0000001428
1404 0.0000001102
1432 0.0000000507
1510 0.0000000311
1519 0.0000000121
1588 0.0000000118
1610 0.0000000103
1611 0.0000000009
1834 0.0000000004
2189 0.0000000003
2477 0.0000000002
2983 0.0000000000
8000 0.0000000000
evaluations raw_y
1 0.5405771909
6 0.2248486132
8 0.0330492405
37 0.0294320815
86 0.0232833120
103 0.0180953576
121 0.0129255801
133 0.0094449677
171 0.0087941952
246 0.0062061905
250 0.0031086918
421 0.0025238853
427 0.0008770257
520 0.0000769180
636 0.0000695437
694 0.0000194162
799 0.0000149727
808 0.0000112268
872 0.0000010774
1058 0.0000009301
1064 0.0000004481
1075 0.0000003745
1173 0.0000000796
1215 0.0000000080
1270 0.0000000062
1531 0.0000000053
1535 0.0000000047
1573 0.0000000039
1589 0.0000000029
1654 0.0000000005
1866 0.0000000002
1950 0.0000000001
2134 0.0000000000
8000 0.0000000000
evaluations raw_y
1 1.5114604673
3 0.1526586660
8 0.0889204720
23 0.0000000001
8000 0.0000000000
evaluations raw_y
1 1.3290778786
8 0.0507555193
78 0.0436735441
83 0.0155839024
199 0.0146564755
204 0.0039927461
235 0.0037922667
245 0.0031706603
320 0.0019521225
338 0.0001032115
357 0.0000206291
650 0.0000097050
669 0.0000070949
673 0.0000065772
697 0.0000047204
746 0.0000036452
748 0.0000023070
796 0.0000015084
811 0.0000014620
834 0.0000013805
872 0.0000001006
945 0.0000000781
983 0.0000000278
1076 0.0000000234
1134 0.0000000098
1189 0.0000000046
1236 0.0000000019
1267 0.0000000005
1417 0.0000000003
1452 0.0000000001
8000 0.0000000000
evaluations raw_y
1 39.6052315419
2 37.8952120887
3 27.9841753723
8 13.3876254274
14 3.7974856503
121 1.3286589952
358 0.5718433766
396 0.3427680168
460 0.1035958517
608 0.0114728016
653 0.0062558993
666 0.0024484003
754 0.0022260410
797 0.0001312401
896 0.0000428060
1044 0.0000398043
1058 0.0000177886
1137 0.0000169161
1175 0.0000058503
